Monthly Data for May 1990 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
GOLD ROCK RANCH, COOP, Imperial, -114.867, 32.883, 485, 0.18
IMPERIAL, COOP, Imperial, -115.567, 32.849, -64, T
DESCANSO RANGER STN, COOP, San Diego, -116.617, 32.850, 3500, 0.88
EL CAPITAN DAM, COOP, San Diego, -116.815, 32.886, 600, 0.34
LAKESIDE 2 E, COOP, San Diego, -116.895, 32.854, 690, 0.35
POWAY VALLEY, COOP, San Diego, -117.031, 33.020, 648, 0.48
JULIAN CDF, COOP, San Diego, -116.592, 33.076, 4215, 0.08
RAMONA FIRE DEPT, COOP, San Diego, -116.908, 33.011, 1470, 0.47
SAN PASQUAL ANIMAL PK, COOP, San Diego, -116.997, 33.096, 420, 0.42
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 0.69
VISTA, COOP, San Diego, -117.232, 33.235, 430, 0.67
OCEANSIDE MARINA, COOP, San Diego, -117.395, 33.210, 10, 0.86
NILAND, COOP, Imperial, -115.524, 33.278, -60, 0.00
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.01
OAK GROVE RS, COOP, San Diego, -116.792, 33.386, 2750, 0.60
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 1.45
MECCA FIRE STATION, COOP, Riverside, -116.073, 33.570, -183, 0.00
ANZA, COOP, Riverside, -116.674, 33.556, 3915, 1.02
LAGUNA BEACH, COOP, Orange, -117.781, 33.545, 44, 1.45
BLYTHE ASOS, WBAN, Riverside, -114.715, 33.619, 395, 0.02
DESERT RESORTS REGIONAL AP, WBAN, Riverside, -116.164, 33.632, -118, 0.02
BARSTOW-DAGGETT AIRPORT, WBAN, San Bernardino, -116.787, 34.854, 1919, 0.05
MERCED, COOP, Merced, -120.516, 37.289, 154, 1.65
SAN DIEGO INTERNATIONAL AP, WBAN, San Diego, -117.183, 32.734, 15, 0.51
SAN DIEGO MIRAMAR NAS, WBAN, San Diego, -117.133, 32.867, 477, 0.47
NORTH ISLAND NAS, WBAN, San Diego, -117.210, 32.692, 14, 0.20
SAN FRANCISCO INTERNATIONAL AP, WBAN, San Mateo, -122.366, 37.620, 10, 1.55
BRAWLEY 2 SW, COOP, Imperial, -115.558, 32.954, -100, 0.30
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, 1.32
CHICO UNIVERSITY FARM, COOP, Butte, -121.821, 39.691, 185, 2.88
CHULA VISTA, COOP, San Diego, -117.086, 32.640, 56, 0.18
COLFAX, COOP, Placer, -120.947, 39.090, 2373, 4.80
CUYAMACA, COOP, San Diego, -116.587, 32.990, 4640, 1.22
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 1.85
DEATH VALLEY NATIONAL PARK, WBAN, Inyo, -116.867, 36.463, -194, 0.01
ELECTRA P H, COOP, Amador, -120.671, 38.331, 715, 3.51
FAIRMONT, COOP, Los Angeles, -118.430, 34.705, 3060, 0.27
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 9.46
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 0.87
HAPPY CAMP RANGER STATION, COOP, Siskiyou, -123.375, 41.796, 1142, 7.19
HEALDSBURG, COOP, Sonoma, -122.866, 38.629, 177, 6.44
INDIO FIRE STATION, COOP, Riverside, -116.215, 33.709, -21, 0.08
LAKE SPAULDING, COOP, Nevada, -120.639, 39.318, 5156, 9.43
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 1.55
LIVERMORE, COOP, Alameda, -121.751, 37.682, 529, 1.78
MARYSVILLE, COOP, Yuba, -121.585, 39.146, 57, 2.58
NAPA STATE HOSPITAL, COOP, Napa, -122.265, 38.278, 35, 3.27
OJAI, COOP, Ventura, -119.227, 34.448, 745, 0.82
ORLAND, COOP, Glenn, -122.200, 39.746, 254, 2.71
ORLEANS, COOP, Humboldt, -123.539, 41.302, 403, 9.25
PASADENA, COOP, Los Angeles, -118.145, 34.148, 864, 1.47
PASO ROBLES, COOP, San Luis Obispo, -120.685, 35.628, 730, 0.66
PETALUMA AIRPORT, COOP, Sonoma, -122.608, 38.258, 20, 2.34
QUINCY, COOP, Plumas, -120.947, 39.937, 3420, 4.75
REDLANDS, COOP, San Bernardino, -117.195, 34.037, 1410, 0.66
SANTA BARBARA, COOP, Santa Barbara, -119.684, 34.417, 16, 0.80
SANTA CRUZ, COOP, Santa Cruz, -122.000, 36.988, 70, 4.11
SANTA ROSA, COOP, Sonoma, -122.713, 38.456, 166, 5.46
TAHOE CITY, COOP, Placer, -120.143, 39.168, 6230, 2.54
TUSTIN IRVINE RANCH, COOP, Orange, -117.754, 33.703, 235, 0.56
UKIAH, COOP, Mendocino, -123.210, 39.147, 636, 5.47
VACAVILLE, COOP, Solano, -121.961, 38.396, 110, 2.33
WASCO, COOP, Kern, -119.352, 35.589, 291, 0.34
WEAVERVILLE, COOP, Trinity, -122.944, 40.735, 2058, 6.91
WILLOWS 6 W, COOP, Glenn, -122.305, 39.523, 234, 2.23
YOSEMITE PARK HEADQUARTERS, COOP, Mariposa, -119.590, 37.750, 4018, 1.77
YREKA, COOP, Siskiyou, -122.641, 41.703, 2709, 2.38
BERKELEY, COOP, Alameda, -122.260, 37.874, 310, 4.00
