"Name","Month","TotalPrecipitation_New"
"Needles Area","2018-01",0.41
"Needles Area","2018-02",0.2
"Needles Area","2018-03",0.23
"Needles Area","2018-04",0
"Needles Area","2018-05",0
"Needles Area","2018-06",0
"Needles Area","2018-07",0.93
"Needles Area","2018-08",0.17
"Needles Area","2018-09",0
"Needles Area","2018-10",0.58
"Needles Area","2018-11",0.04
"Needles Area","2018-12",0.41
"Needles Area","2019-01",1.37
"Needles Area","2019-02",1.73
"Needles Area","2019-03",0.55
"Needles Area","2019-04",0.32
"Needles Area","2019-05",0.19
"Needles Area","2019-06",0
"Needles Area","2019-07",0
"Needles Area","2019-08",0.05
"Needles Area","2019-09",0.55
"Needles Area","2019-10",0
"Needles Area","2019-11",2.69
"Needles Area","2019-12",1.03
"Needles Area","2020-01",0
"Needles Area","2020-02",0.35
"Needles Area","2020-03",2.36
"Needles Area","2020-04",0.43
"Needles Area","2020-05",0
"Needles Area","2020-06",0
"Needles Area","2020-07",0
"Needles Area","2020-08",0
"Needles Area","2020-09",0
"Needles Area","2020-10",0
"Needles Area","2020-11",0.03
"Needles Area","2020-12",0
"Needles Area","2021-01",0.05
"Needles Area","2021-02",0.01
"Needles Area","2021-03",0.05
"Needles Area","2021-04",0
"Needles Area","2021-05",0
"Needles Area","2021-06",0.16
"Needles Area","2021-07",0.12
"Needles Area","2021-08",0.49
"Needles Area","2021-09",0
"Needles Area","2021-10",0
"Needles Area","2021-11",0
"Needles Area","2021-12",0.39
"Needles Area","2022-01",0
"Needles Area","2022-02",0
"Needles Area","2022-03",0.06
"Needles Area","2022-04",0
"Needles Area","2022-05",0
"Needles Area","2022-06",0.03
"Needles Area","2022-07",0.57
"Needles Area","2022-08",1.64
"Needles Area","2022-09",0
"Needles Area","2022-10",0.01
"Needles Area","2022-11",0.33
"Needles Area","2022-12",0.03
"Needles Area","2023-01",0.85
"Needles Area","2023-02",0.25
"Needles Area","2023-03",1.95
"Needles Area","2023-04",0
"Needles Area","2023-05",0.06
"Needles Area","2023-06",0.09
"Needles Area","2023-07",0
"Needles Area","2023-08",1.09
"Needles Area","2023-09",0.66
"Needles Area","2023-10",0
"Needles Area","2023-11",0.02
"Needles Area","2023-12",0.06
"Needles Area","2024-01",0.43
"Needles Area","2024-02",0.93
"Needles Area","2024-03",0.81
"Needles Area","2024-04",0
"Needles Area","2024-05",0
"Needles Area","2024-06",0
"Needles Area","2024-07",0
"Needles Area","2024-08",0.19
"Needles Area","2024-09",0.1
"Needles Area","2024-10",0
"Needles Area","2024-11",0
"Needles Area","2024-12",0
"Needles Area","2025-01",0
"Needles Area","2025-02",0.07
"Needles Area","2025-03",0.23
"Needles Area","2025-04",0.07
"Needles Area","2025-05",0.23
"Needles Area","2025-06",1.21
"Needles Area","2025-07",0.73
"Needles Area","2025-08",0.07
"Needles Area","2025-09",0.76
"Needles Area","2025-10",0.01
"Needles Area","2025-11",1.14
"Needles Area","2025-12",0
"Needles Area","2026-01",0
