Monthly Data for January 1970 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
IMPERIAL, COOP, Imperial, -115.567, 32.849, -64, 0.00
DESCANSO RANGER STN, COOP, San Diego, -116.617, 32.850, 3500, 1.33
EL CAPITAN DAM, COOP, San Diego, -116.815, 32.886, 600, 0.97
LAKESIDE 2 E, COOP, San Diego, -116.895, 32.854, 690, 0.73
POWAY VALLEY, COOP, San Diego, -117.031, 33.020, 648, 0.90
SAN CLEMENTE ISLAND NAAS, WBAN, Los Angeles, -118.588, 33.023, 182, 0.99
RAMONA SPAULDING, COOP, San Diego, -116.850, 33.067, 1480, 1.23
JULIAN WYNOLA, COOP, San Diego, -116.650, 33.100, 3650, 1.92
ESCONDIDO, COOP, San Diego, -117.083, 33.117, 659, 1.02
OCOTILLO WELLS, COOP, San Diego, -116.133, 33.150, 180, 0.03
RANCHITA, COOP, San Diego, -116.533, 33.233, 4114, 0.00
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 1.34
VALLEY CENTER 2 NNE, COOP, San Diego, -117.017, 33.233, 1391, 0.81
VISTA, COOP, San Diego, -117.232, 33.235, 430, 1.02
OCEANSIDE MARINA, COOP, San Diego, -117.395, 33.210, 10, 1.23
NILAND, COOP, Imperial, -115.524, 33.278, -60, T
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.00
WARNER SPRINGS, COOP, San Diego, -116.633, 33.283, 3182, 0.65
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 1.57
MECCA FIRE STATION, COOP, Riverside, -116.073, 33.570, -183, 0.10
ANZA, COOP, Riverside, -116.674, 33.556, 3915, 1.08
LAGUNA BEACH, COOP, Orange, -117.781, 33.545, 44, 2.13
BLYTHE ASOS, WBAN, Riverside, -114.715, 33.619, 395, 0.11
DESERT RESORTS REGIONAL AP, WBAN, Riverside, -116.164, 33.632, -118, 0.10
CULVER CITY, COOP, Los Angeles, -118.414, 34.005, 92, 2.20
SANTA MONICA, COOP, Los Angeles, -118.483, 34.017, 59, 1.93
SANTA MONICA PIER, COOP, Los Angeles, -118.500, 34.008, 14, 0.50
FONTANA KAISER, COOP, San Bernardino, -117.517, 34.083, 1102, 1.82
POMONA/FAIRPLEX, COOP, Los Angeles, -117.766, 34.082, 999, 1.64
SPADRA LANTERMAN HOSPITAL, COOP, Los Angeles, -117.810, 34.042, 676, 1.77
COVINA CITY YARD FC387B, COOP, Los Angeles, -117.880, 34.092, 607, 1.68
U C L A, COOP, Los Angeles, -118.443, 34.070, 430, 2.05
BEL AIR FC 10A, COOP, Los Angeles, -118.450, 34.083, 541, 2.00
TOPANGA PATROL FC-6, COOP, Los Angeles, -118.599, 34.084, 745, 2.87
