Data for April 1, 2025 through April 2, 2025

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
MERCED, COOP, Merced, -120.516, 37.289, 154, 0.01
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, 0.16
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 0.00
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 0.64
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 0.03
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 0.18
NAPA STATE HOSPITAL, COOP, Napa, -122.265, 38.278, 35, 0.26
OJAI, COOP, Ventura, -119.227, 34.448, 745, 0.00
ORLAND, COOP, Glenn, -122.200, 39.746, 254, 0.01
PETALUMA AIRPORT, COOP, Sonoma, -122.608, 38.258, 20, 0.25
QUINCY, COOP, Plumas, -120.947, 39.937, 3420, 0.65
SANTA BARBARA, COOP, Santa Barbara, -119.684, 34.417, 16, 0.00
SANTA ROSA, COOP, Sonoma, -122.713, 38.456, 166, 0.29
TAHOE CITY, COOP, Placer, -120.143, 39.168, 6230, 0.73
WASCO, COOP, Kern, -119.352, 35.589, 291, 0.00
YREKA, COOP, Siskiyou, -122.642, 41.702, 2712, 0.07
CAMPO, COOP, San Diego, -116.470, 32.626, 2630, 0.03
HENSHAW DAM, COOP, San Diego, -116.761, 33.237, 2700, 0.02
BORREGO DESERT PARK, COOP, San Diego, -116.404, 33.256, 810, 0.00
PALOMAR MTN OBSERVATORY, COOP, San Diego, -116.840, 33.378, 5550, 0.00
HAYFIELD PUMPING PLANT, COOP, Riverside, -115.629, 33.704, 1370, 0.00
EAGLE MOUNTAIN, COOP, Riverside, -115.451, 33.808, 973, 0.00
CULVER CITY, COOP, Los Angeles, -118.414, 34.005, 92, 0.00
JOSHUA TREE, COOP, San Bernardino, -116.275, 34.147, 2563, 0.00
SAN GABRIEL CANYON PH, COOP, Los Angeles, -117.908, 34.155, 744, 0.00
JUNCAL DAM, COOP, Santa Barbara, -119.507, 34.491, 2260, 0.00
SAUGUS POWER PLANT 1, COOP, Los Angeles, -118.454, 34.590, 2161, 0.02
CACHUMA LAKE, COOP, Santa Barbara, -119.982, 34.582, 789, 0.01
TRONA, COOP, San Bernardino, -117.391, 35.764, 1695, 0.00
KING CITY, COOP, Monterey, -121.138, 36.207, 320, 0.14
LINDSAY, COOP, Tulare, -119.054, 36.203, 435, 0.08
BIG SUR STATION, COOP, Monterey, -121.780, 36.247, 200, 0.55
VISALIA, COOP, Tulare, -119.300, 36.328, 303, 0.02
PINNACLES NATIONAL PARK, COOP, San Benito, -121.182, 36.482, 1307, 0.18
LODGEPOLE, COOP, Tulare, -118.732, 36.604, 6735, 1.00
FRIANT GOVERNMENT CAMP, COOP, Fresno, -119.707, 36.996, 430, 0.15
LOS BANOS, COOP, Merced, -120.867, 37.056, 120, T
BEN LOMOND NO. 4, COOP, Santa Cruz, -122.082, 37.087, 435, 0.28
NORTH FORK RS, COOP, Madera, -119.510, 37.233, 2645, 0.48
HALF MOON BAY, COOP, San Mateo, -122.443, 37.473, 27, 0.61
TRACY PUMPING PLANT, COOP, Alameda, -121.583, 37.796, 61, 0.11
TUOLUMNE MEADOWS R.S., COOP, Tuolumne, -119.344, 37.877, 8694, 0.97
RICHMOND, COOP, Contra Costa, -122.377, 37.919, 20, 0.15
SONORA, COOP, Tuolumne, -120.387, 37.967, 1675, 1.13
KENTFIELD, COOP, Marin, -122.545, 37.957, 145, 0.08
SAN ANDREAS 2, COOP, Calaveras, -120.671, 38.191, 1100, 0.60
WINTERS, WBAN, Yolo, -121.978, 38.525, 135, 0.05
LAKE SOLANO, COOP, Solano, -122.004, 38.492, 187, 0.03
MIDDLETOWN, COOP, Lake, -122.626, 38.748, 1121, 0.51
CLOVERDALE, COOP, Sonoma, -123.026, 38.793, 400, 0.50
AUBURN, COOP, Placer, -121.084, 38.907, 1292, 0.26
GRASS VALLEY NO. 2, COOP, Nevada, -121.068, 39.204, 2400, 0.60
NEVADA CITY, COOP, Nevada, -121.001, 39.247, 2781, 0.88
TRUCKEE AIRPORT, WBAN, Nevada, -120.139, 39.320, 5900, 1.04
BOCA, COOP, Nevada, -120.094, 39.389, 5575, 1.03
POTTER VALLEY POWERHOUSE, COOP, Mendocino, -123.129, 39.362, 1018, 1.02
STONY GORGE RESERVOIR, COOP, Glenn, -122.534, 39.586, 800, 0.06
PORTOLA, COOP, Plumas, -120.472, 39.805, 4850, 0.51
COLEMAN FISHERIES STATION, COOP, Shasta, -122.143, 40.400, 420, 0.35
WHISKEYTOWN RESERVOIR, COOP, Shasta, -122.528, 40.612, 1295, 0.35
SHASTA DAM, COOP, Shasta, -122.416, 40.714, 1075, 0.36
DUNSMUIR TREATMENT PL, COOP, Siskiyou, -122.282, 41.183, 2169, 1.02
FORT JONES RS, COOP, Siskiyou, -122.848, 41.601, 2729, 0.13
GASQUET RS, COOP, Del Norte, -123.967, 41.846, 387, 1.74
BARSTOW, COOP, San Bernardino, -117.022, 34.893, 2220, 0.00
MARKLEY COVE, COOP, Napa, -122.124, 38.492, 480, 0.09
LORAINE 5 NNE, COOP, Kern, -118.412, 35.384, 4235, 0.08
LEE VINING, COOP, Mono, -119.119, 37.957, 6797, 0.37
